Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Minimum Weeks,Area sqm,Area sqft,£psf pa,Address,url
iQ City,iQ Student Accommodation,Platinum Studio Plus,449,1908.25,22899,51,,,,"iQ City, 11 Bastwick Street, London, EC1V 3AQ",https://www.mystudenthalls.com/student-accommodation/london/iq-city/
iQ City,iQ Student Accommodation,Silver 2 Bed Apartment,328,1394.0,16728,51,,,,"iQ City, 11 Bastwick Street, London, EC1V 3AQ",https://www.mystudenthalls.com/student-accommodation/london/iq-city/
iQ City,iQ Student Accommodation,Silver 2 Bed Apt Plus,334,1419.5,17034,51,,,,"iQ City, 11 Bastwick Street, London, EC1V 3AQ",https://www.mystudenthalls.com/student-accommodation/london/iq-city/
iQ City,iQ Student Accommodation,Silver Studio Plus,392,1666.0,19992,51,,,,"iQ City, 11 Bastwick Street, London, EC1V 3AQ",https://www.mystudenthalls.com/student-accommodation/london/iq-city/
Host King’s Cross,Host,En-Suite,370,1356.67,16280,44,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
Host King’s Cross,Host,En-Suite,350,1487.5,17850,51,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
Host King’s Cross,Host,Studio,445,1891.25,22695,51,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
Host King’s Cross,Host,Large Studio,480,2040.0,24480,51,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
Host King’s Cross,Host,Premium Studio,510,2167.5,26010,51,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
Host King’s Cross,Host,One Bed Apartment,580,2465.0,29580,51,,,,"25 Canal Reach, London, N1C 4DD",https://www.mystudenthalls.com/student-accommodation/london/host-kings-cross/
